Text,Lemmatized Text,Clusters(K Means),Clusters(DBSCAN)
kalıp üretimi öncesi fizibilite çalışmalarının,kalıp üretim önce fizibilite çalış,2,0
projelerin ilerleyişlerinin düzenli takibinin raporlamasının,proje ilerle düzenli takip raporla,1,1
HTML CSS javascript jquery PHP konularında uzman,html CSS javascript jquery php konu uzman,1,0
- MAGENTO WORDPRESS PRESTASHOP tabanlı sitelerin kurulması geliştirilmesi konusunda deneyimli,MAGENTO wordpress PRESTASHOP taban site kur geliştir konu deneyim,1,0
full-time çalışacak motorlu kuryeler alınacaktır,full-time çalış motor kurye alın,2,0
bakış açısını işine yansıtabilen,bakış açı iş yansı,1,1
iletişimi kuvvetli ekip verimli çalışabilecek,iletişim kuvvet ekip verim çalış,2,0
konsept geliştirebilen,konsept geliştir,1,1
cam bilgisi olan,cam bilgi olan,4,0
gebze darıca civarında ikamet edebilcek,gebze darı civar ikamet et,0,0
uyumlu çalışabilmek,uyum çalış,2,0
niğdede ikamet etmek,niğde ikamet et,0,0
üniversitelerin okul öncesi eğitim bölümünde 4 yıllık lisans 2 yıllık lisans eğitimi almış,üniversite okul önce eğitim bölüm 4 yıllık lisans 2 yıllık lisans eğitim al,1,1
anaokulu öğretmeni 3 yıl çalışmış,anaokulu öğretmen 3 yıl çalış,2,0
pozitif takım çalışmasına yatkın üretken,pozitif tak çalış yatkın üretken,2,0
öğrencilerle güçlü iletişim kurabilen,öğrenci güçlü iletişim kur,1,1
enerjisi özgüveni yüze iletişim becerisi yüksek olan,enerji özgüven yüz iletişim beceri yüksek olan,4,0
günümüz eğitim teknolojilerine hakim,gün eğitim teknoloji hakim,1,1
tercihen UHT süt,tercihen UHT süt,1,1
peynir üretim ar-ge alanında uzmanlaşmış,peynir üretim ar-ge alan uzman,1,1
windows MS office programları kurulumları yapabileceksorunlarına destek verebilecek,windows ms office program kurulum yap sorun destek ver,1,0
pc laptop yazıcı projeksiyon mobil cihazlar arızalar destek verebilecek,pc laptop yaz projeksiyon mobil cihaz arıza destek ver,1,1
bilgisayar envanter lisans takibi yapabilecek,bilgisayar envanter lisans takip yap,1,0
antivirus yazılımlarını bilen,antivirus yazılım bil,1,1
iletişim problem çözme becerileri gelişmiş olan,iletişim problem çöz beceri geliş olan,4,0
alanında min 4 yıl tecrübeli,alan mi 4 yıl tecrübe,1,0
sonuç odaklı detaylara önem veren,sonuç odak detay önem ver,1,1
3 yıllık restoran yöneticiliği deneyimine sahip,3 yıllık restoran yönet deneyim sahip,5,0
marka değerini doğru temsil edebilen,mark değer doğru temsil et,0,0
dış görünüşüne diksiyonuna özen gösteren,dış görünüş diksiyon özen göster,1,1
hijyen temizlik konusunda duyarlı,hijyen temiz konu duyarlı,1,0
iskender ekspres fast food bursa şubelerinde görevlendirilmek,iskender ekspres fast food bur şube görevlen,1,1
mersin forum avmde bulunan mağazamızda görevlendirilmek,mers forum avm bulun mağaza görevlen,1,1
SAP bilgisi şarttır ek SAP new GL deneyimi tercih sebebidir,sap bilgi şart ek sap new GL deney tercih sebep,1,1
iyi derecede ingilizce yazma okuma konuşma bilgisi,iyi derece ingilizce yazma ok konuş bilgi,1,1
finansal operasyonel planlama yeteneğine sahip,finansal operasyonel planla yetenek sahip,5,0
iyi iletişim becerileri olan,iyi iletişim beceri olan,4,0
sekreterlik konusunda 1 yıl tecrübe,sekreter konu 1 yıl tecrübe,1,0
ihracat prosedürlerine hakim,ihracat prosedür hakim,1,1
takip raporlama iletişim yönü kuvvetli,takip raporla iletişim yön kuvvet,1,1
seyahat engeli bulunmayani,seyahat engel bulun i,1,1
istanbul tuzla civarında ikamet,istanbul tuzla civar ikamet,1,1
hijyen konusuna önem gösteren,hijyen konu önem göster,1,0
tercihen önceden benzer pozisyonlarda çalışmış,tercihen önceden benzer pozisyon çalış,2,0
temiztertiplidüzenli disiplinli çalışan,temiz tertip düzenli disiplin çalış,2,0
iletişimi güçlü güleryüzlü dinamik olan,iletişim güçlü güleryüz dinamik olan,4,0
1987 yılından günümüze geçen gün gelişerek büyüyen firmamız,1987 yıl gün geçen gün geliş büyü firma,1,0
süreçte bancomarkasını yaratarak sektöründe emin adımlar yoluna devam etmektedir,süreç banco marka yarat sektör emin adımla yolun devam et,0,0
medikal sektöründe faaliyet gösteren firmamızın teknik servis kadrosunda görevlendirmek,medikal sektör faaliyet göster firma teknik servis kadro görevlen,1,1
başlangıç düzeyinde SQL kullanabilen,başlangıç düzey SQL kullan,3,0
takım arkadaşları iyi iletişim kurabilen,tak arkadaş iyi iletişim kur,1,1
aktif özenli araç kullanabilen,aktif özen araç kullan,3,0
tercihen üretim lojistik sektöründe deneyim kazanmış,tercihen üretim lojistik sektör dene kazan,1,1
analitik problem çözme becerileri gelişmiş,analitik problem çöz beceri geliş,1,1
sarıyer bölgesine ulaşımı kolay,sarıyer bölge ulaş kolay,1,1
tercihen sektörel yazılım uygulamaları kullanmış,tercihen sektörel yazılı uygula kullan,3,0
denetim eğitim gözetim yapabilecek,denet eğitim gözetim yap,1,0
dijital pazarlama hakkında bilgi sahibi,dijital pazarla hakkında bilgi sahip,5,0
marketplace reklamları verebilecek,marketplace reklam ver,1,1
5 yıl yazılım geliştirme tecrübesine sahip,5 yıl yazılı geliştir tecrübe sahip,5,0
PLSQL postgesql veri tabanı konusunda tecrübesi bulunan,PL SQL postgesql veri taba konu tecrübe bulun,1,0
agilescrum metodolojileri bilgisideneyimi bulunan,agile scrum metodoloji bilgi deney bulun,1,1
WEB başvurusu genel nitelikler,web başvuru genel nitelik,1,1
saha uygulamalarında aktif yer alacak,saha uygula aktif ye al,1,1
B sınıfı sürücü belgesine sahip olan,b sınıf sür belge sahip olan,5,0
mecburi hizmet görevini tamamlamış,mecburi hizmet görev tamamla,1,1
tercihen kalite yönetim sistemlerine hakim,tercihen kalite yönet sistem hakim,1,1
MEDİTEK İSG yazılım benzer yazılım sistemlerinde deneyimli aktif kullanabilen,MEDİTEK İSG yazılı benzer yazılı sistem deneyim aktif kullan,3,0
oteldeki spa fitness faaliyetlerinin yürütülmesinden sorumlu,otel spa fitness faaliyet yürüt sorumlu,1,1
SPA fitness bölümünün operasyonunu yürütecek,spa fitness bölüm operasyon yürüt,1,1
planlamakoordinasyondenetimkontrol takip yönü gelişmiş,planla koordinasyon denet kontrol takip yön geliş,1,1
şişlide yeni açılan 5 yıldızlı  THE CRATON HOTEL bünyesinde çalışacak  SPA  FITNESS MÜDÜRÜ görev alacak aşağıdaki niteliklere sahip ekip arkadaşı arıyoruz,şişli yeni aç 5 yıldız the CRATON hotel bünye çalış spa FITNESS müdür görev al aşağı nitelik sahip ekip arkadaş ara,5,0
fazla mesaili çalışmaya engeli olmayan,fazla mesail çalış engel olmayan,2,0
aydın ilinde ikamet edebilecek,aydın il ikamet et,0,0
sonuç odaklı hızlı karar verebilen,sonuç odak hızlı karar ver,1,1
takım çalışmasına yoğun çalışma temposuna ayak uydurabilecek,tak çalış yoğun çalış tempo ay uydur,2,0
ithalatihracat  lojistik gümrükleme operasyonlarını getirebilecek,ithalat ihracat lojistik gümrükle operasyon getir,1,1
gümrük müşaviri nakliyecilerle koordinasyonu sağlayabilen,gümrük müşavir nakliye koordinasyon sağla,1,1
nakliye operasyonlarını gerçekleştirebilecek,nakliye operasyon gerçek,1,1
e-ticaret kategori yönetimi konusunda 7 yıl üzeri deneyime sahip,e-ticaret kategori yönet konu 7 yıl üzer deney sahip,5,0
bilgisayar ofis araçlarını iyi kullanabilen,bilgisayar ofis araç iyi kullan,3,0
uluslararası ticaret bilgisi olan,uluslararası ticaret bilgi olan,4,0
inşaat mühendislik firmalarında çalışmış,inşaat mühendis firma çalış,2,0
konulara bilgi birikimi olan,konu bilgi birikim olan,4,0
tedarikçilerle yeni ürün geliştirme revizyon ilişkili iletişimin süreçlerin yürütülmesi,tedarik yeni ürün geliştir revizyon ilişki iletişim süreç yürüt,1,1
imalatını yapmakta olduğumuz makinelerin tasarımlarını,imalat yap ol makine tasarım,1,0
çizimlerin teknik resimlerini oluşturacak,çizim teknik resim oluş,1,1
makinelerin satınalması gerekli dosyalarını hazırlayacak,makine satınal gerekli dosya hazırla,1,1
tasarımcı çalışma arkadaşı alınacaktır,tasarım çalış arkadaş alın,2,0
yüksek iş temposuna uyum sağlayabilecek,yüksek iş tempo uyum sağla,1,1
planlı çalışma bilincine sahip,plan çalış bilinç sahip,5,0
disiplinli özverili çalışma ortamını tesis edebilecek,disiplin özveri çalış ortam tesis et,0,0
merkez ofisimizde görevlendirilmek bordro özlük işleri uzmanı arayışımız bulunmaktadır,merkez ofis görevlen bordro öz iş uzma ara bulun,1,1
tercihen alanında 2 yıl deneyimli,tercihen alan 2 yıl deneyim,1,0
takım çalışmasına yatkın proaktif dinamik,tak çalış yatkın proaktif dinamik,2,0
iyileştirme alternatif tedarikçi çalışmalarında elektriksel çalışmalarda bulunabilecek,iyi alternatif tedarik çalış elektrik çalış bulun,2,0
dünyanın büyük ticari soğutucu şirketlerinden olan metalfrio | solutions grubunun manisada kurulu bulunan klimasan fabrikamızda görevlendirilmek,dünya büyük ticari soğut şirket olan metalfrio | solutions grub manisa kurul bulun klimasan fabrika görevlen,4,0
performans gelişim yönetimi yüksek,performans gelişim yönet yüksek,1,1
insan ilişkileri güçlü güler yüzlü,insan ilişki güçlü gül yüz,1,1
tercihen 2 yıl reklam sektöründe fason takibi yapmış üretimplanlama bölümlerde çalışmış,tercihen 2 yıl reklam sektör faso takip yap üretim planla bölüm çalış,1,-1
kasa işlemi gerektiren mevduat hesaplarının açılış,kas işlem gerek mevduat hesap aç,1,1
işleyiş kapanışı bankacılık hizmetlerini gerçekleştirir,işle kapan banka hizmet gerçek,1,1
inovasyon alanında 5-7 yıl tecrübeli,inovasyon alan 5-7 yıl tecrübe,1,0
kurumun yenilikçiliğin öncesi olma yolundaki,kur yenilik önce ol yol,1,1
sürdürülebilir inovasyon süreçlerinin geliştirilmesi,sürdür inovasyon süreç geliştir,1,1
inovasyon kapasite kültür analizlerinin gerçekleştirilmesi,inovasyon kapasite kültür analiz gerçek,1,1
inovasyon yönetimi yönergesi süreçlerin geliştirilmesi,inovasyon yönet yönerge süreç geliştir,1,1
inovasyon kurullarının etkin işlerliğinin sağlaması,inovasyon kurul etkin işle sağla,1,1
inovasyon stratejilerinin belirlenmesi,inovasyon strateji belirle,1,1
teknoloji yol haritasının geliştirilmesi,teknoloji yol harita geliştir,1,1
kurum içerisinde inovasyon eğitimlerinin düzenlenmesi,kur içeri inovasyon eğitim düzenle,1,1
sorululuk alabilen,soru al,1,1
ihracat satış konusunda 10 yıl yöneticilik deneyimi olan,ihracat satış konu 10 yıl yönet deney olan,4,0
yüksek ihracat cirolarını yönetmek konusunda deneyimli,yüksek ihracat ciro yönet konu deneyim,1,0
FMCG sektöründe yurt dışı satış & pazarlaması konusunda tecrübeli,FMCG sektör yurt dış satış & pazarla konu tecrübe,1,0
pazar portföyü olan,pazar portföy olan,4,0
yüksek çalışma temposuna ayak uydurabilecek,yüksek çalış tempo ay uydur,2,0
vizyoner dinamik ikna kabiliyeti yüksek,vizyoner dinamik ikna kabiliyet yüksek,1,1
tekstil sektöründe modelist 5 yıl deneyimi olan,tekstil sektör modelist 5 yıl deney olan,4,0
dokuma bayan gruplarına hakim,dokuma bayan grup hakim,1,1
tercihen ASSYT programı kullanabilen,tercihen ASSYT program kullan,3,0
iş birliği ekip çalışmasına yatkın,iş birlik ekip çalış yatkın,2,0
tercihen ERP bilgisi bulunan,tercihen ERP bilgi bulun,1,1
lisans mezunu lisans mezunu,lisans mezun lisans mezun,1,1
görev alanı 3 yıllık deneyime sahip,görev ala 3 yıllık deney sahip,5,0
askerlikle bağlantısı olmamak erkek adaylar,asker bağlantı ol erkek aday,1,1
endüstriyel tesis deneyimi olan,endüstriyel tesis deney olan,4,0
ingilizce bilgisi iyi seviyede,ingilizce bilgi iyi seviye,1,1
finans muhasebe konularında uzman,finans muhasebe konu uzman,1,0
konularda güncel mevzuata hakim,konu güncel mevzuat hakim,1,0
tercihen ERP projesinde işletmenin çalışanı ERP danışmanı finans muhasebe modüllerinin kurgulanmasında görev almış tecrübeli,tercihen ERP proje işletme çalış ERP danışman finans muhasebe modül kurgula görev al tecrübe,2,0
kesinlikle seyahat engeli olmayan,kesinlikle seyahat engel olmayan,1,1
düzenli raporlama dokümantasyona önem veren,düzenli raporla dokümantasyon önem ver,1,1
gereksinimleri karşılayacak sistem mimarisini oluşturmak,gereksinim karşıla sistem mimari oluş,1,1
sistemin alt sistemlerin ara gereksinimlerini oluşturmak,sistem alt sistem ara gereksinim oluş,1,1
sistem teknik performans risk değerlendirmesi kriterlerini oluşturmak,sistem teknik performans risk değerlendir kriter oluş,1,1
sistem düzeyi testleri tanımlamak planlamak gerçekleştirilmesini sağlamak,sistem düze test tanımla planla gerçek sağla,1,1
excelin gurmesi olan,excel gurme olan,4,0
telefonda restoranlara ürünleri projeleri tanıtarak satışını gerçekleştirecek süreçlerini takip,telefon restoran ürün proje tanı satış gerçek süreç takip,1,1
süreçleri raporlayacak,süreç raporla,1,1
marka işbirlikleri tele-satış uzmanı arıyoruz,mark işbirliği tele-satış uzma ara,1,1
autocad ofis programlarına hâkim,autocad ofis program hakim,1,1
ingilizce yabancı dilini iyi derecede konuşup yazabilen,ingilizce yabancı dil iyi derece konuş yaz,1,1
yapılacak işlerin programını bağlı bulunduğu yöneticisine periyodik raporlayacak,yap iş program bağ bulun yönet periyodik raporla,1,0
hakediş metraj ataşman bilgisi olan,haket metraj ataşman bilgi olan,4,0
temsil kabiliyeti yüksek diksiyonu düzgün,temsil kabiliyet yüksek diksiyon düzgün,1,1
personel puantaj kayıtlarını tutmak,personel puantaj kayıt tut,1,1
özlük dosyası oluşturma sürecini yürütmek,öz dosya oluş süreç yürüt,1,1
alanında 1 yıllık tecrübe sahibi,alan 1 yıllık tecrübe sahip,5,0
diksiyonu düzgün sunum yeteneği gelişmiş eğitim sunumları hazırlayabilecek,diksiyon düzgün sunu yetenek geliş eğitim sunum hazırla,1,1
farklı seviyelere aktarım yapabilme yeteneğine sahip,fark seviye aktar yap yetenek sahip,5,0
iyi seviyede sözlü yazılı iletişim kurabilecek ingilizce bilgisine sahip,iyi seviye sözlü yazılı iletişim kur ingilizce bilgi sahip,5,0
organizasyon düzenleme becerisi olan,organizasyon düzenle beceri olan,4,0
olumlu ilişkiler etkin iletişim kurma noktalarında beceri sahibi,olumlu ilişki etkin iletişim kur nokta beceri sahip,5,0
photoshop CS5CS6 illüstrasyon N dizayn shutterstock WGSN programlarını kullanabilen,photoshop CS5 CS6 illüstrasyon n dizayn shutterstock WGSN program kullan,3,0
tıp alanındaki gelişmeleri takip,tıp alan geliş takip,1,1
tercihen alanda tecrübesi olan,tercihen ala tecrübe olan,4,0
ekol baz sağlık grubu hemşirelik hizmetlerinde görevlendirilmek servis hemşiresialımımız olacaktır,ekol baz sağlık grub hemşire hizmet görevlen ' servis hemşiresi'alımımız ol,1,1
muhasebe konusunda 2 yıl tecrübe sahibi,muhasebe konu 2 yıl tecrübe sahip,5,0
muhasebe programında deneyim kazanmış,muhasebe program dene kazan,1,1
ekip çalışmasında uyumlu iletişimi kuvvetli,ekip çalış uyum iletişim kuvvet,2,0
ambalaj konusunda kutu bıçak çalışmasında tecrübeli,ambalaj konu kutu bıçak çalış tecrübe,1,0
yeni marka logo tasarımları yapabilen,yeni mark logo tasarım yap,1,0
matbaa konusunda 2 yıl tecrübeli,matbaa konu 2 yıl tecrübe,1,0
erkek adaylar askerlik hizmetini tamamlamış takım arkadaşları,erkek aday asker hizmet tamamla tak arkadaş,1,1
medya sektörüyle iyi ilişkileriniz varsa,medya sektör iyi ilişki var,1,1
yerel yönetimlerle ilişkili çalışma deneyiminiz varsa,yerel yönetim ilişki çalış deneyim var,2,0
üniversitelerin 4 yıllık endüstri mühendisliği bölümlerinden mezun,üniversite 4 yıllık endüstri mühendis bölüm mezun,1,1
satınalma alanında 2 yıl tecrübeli,satınal alan 2 yıl tecrübe,1,0
karar verme problem çözme becerisine sahip,karar ver problem çöz beceri sahip,5,0
maximum 3 yıl deneyimli,maximum 3 yıl deneyim,1,0
veri analizi raporlamaya ilgisi olan,veri analiz raporla ilgi olan,4,0
tercihen 2dil fransızca bilen,tercihen 2. dil fransızca bil,1,1
denetimin gerektirdiği yurtiçi seyahat konaklamalar engeli bulunmayan,denet gerek yurtiçi seyahat konakla engel bulun,1,1
alanlarda satış deneyimi olan,alan satış deney olan,4,0
1 haziran 2020 tarihine çalışabilecek,1 haziran 2020 tarih çalış,2,0
kurum kimliğimizi iyi temsil edebilecek,kur kimlik iyi temsil et,0,0
seyahat engeli olmayan esnek çalışma saatlerine uyum sağlayabilen,seyahat engel olmayan esnek çalış saat uyum sağla,2,0
marka sertifikasyon BSCI denetimlerinde fabrikayı temsil etmek,mark sertifikasyon BSCI denetim fabrika temsil et,0,0
alanında minimum 1 yıl tecrübeli,alan minimum 1 yıl tecrübe,1,0
iş kanunu iş sağlığı & güvenliği çevre konularına hakim,iş kanu iş sağlık & güvenlik çevre konu hakim,1,0
adayların çalışma alanı yozgatyerköyde bulunan çorap üretimi yapan fabrikamız olacaktır,aday çalış ala yozgat yerköy bulun çorap üretim yap fabrika ol,2,0
diş branşı faturalama kriterlerini bilen,diş branş faturala kriter bil,1,1
tercihen BİZMED programını kullanabilen,tercihen BİZMED program kullan,3,0
özel resmi anlaşmalı kurumların işleyişini bilen,özel resmi anlaş kurum işle bil,1,1
sağlık bakanlığı süreçlerine hâkim,sağlık bakanlık süreç hakim,1,1
aylık branş bazında raporlandırma yapabilecek,aylık branş baz rapor yap,1,0
hastane kayıt programına hâkim denetim mekanizmasını oluşturabilecek,hastane kayıt program hakim denet mekanizma oluş,1,1
cari firma görüşmelerinde etkin,cari firma görüşme etkin,1,1
doktor hakediş süreçlerine hakim,doktor haket süreç hakim,1,1
hastane bilgi yönetim sistemlerine hakim,hastane bilgi yönet sistem hakim,1,1
sağlık mevzuatı gelişmeleri takip,sağlık mevzuat geliş takip,1,1
2 yıl fiilen avukatlık yapmış,2 yıl fiilen avukat yap,1,0
üniversitelerin bölümlerinde eğitim almış,üniversite bölüm eğitim al,1,1
satış sonrası teknik hizmetler konusunda deneyim sahibi,satış sonra teknik hizmet konu dene sahip,5,0
sipariş stok lojistik süreçlerine hakim,sipariş stok lojistik süreç hakim,1,1
3 yıl laboratuvar deneyimi olan,3 yıl laboratuvar deney olan,4,0
analizleri talimatlara uygun gerçekleştirmek,analiz talimat uygun gerçek,1,1
fabrikadaki bölümlerin kısımların ihtiyacı olan kimyasal analizlerin periyodik kontrollerini raporlamak,fabrika bölüm kısım ihtiyaç olan kimyasal analiz periyodik kontrol raporla,4,0
talimata uygun analiz gerekli olan çözeltileri hazırlamak,talimat uygun analiz gerekli olan çözelti hazırla,4,0
alanında 4 yıl deneyimli,alan 4 yıl deneyim,1,0
aydın çine ikamet edebilecek olan,aydın çin ' ikamet et olan,0,0
üniversitelerin tercihen sayısal bölümlerinden mezun,üniversite tercihen sayısal bölüm mezun,1,1
güçlü organizasyon planlama becerisine sahip,güçlü organizasyon planla beceri sahip,5,0
dikkatli ekip çalışmasına yatkın,dikkatli ekip çalış yatkın,2,0
tercihen ingilizce mesleki terimleri hakim,tercihen ingilizce mesleki terim hakim,1,1
ithalat mevzuatına hakim,ithalat mevzuat hakim,1,1
tercihen EVRİM programını kullanmış,tercihen evrim program kullan,3,0
insan ilişkileri kuvvetli değişime öğrenmeye açık,insan ilişki kuvvet değişim öğren açık,1,1
aydın-çine ikamet edebilecek,aydın-çine ' ikamet et,0,0
3 yıl kalibrasyon laboratuvarlarında deneyimi olan,3 yıl kalibrasyon laboratuvar deney olan,4,0
mavi yaka ekip yönetimi yapmış,mavi yak ekip yönet yap,1,0
kocaeli sakaryada ikamet edenedebilecek olan,kocaeli sakarya ikamet et et olan,0,0
üniversitelerin veterinerlik fakültelerinden mezun,üniversite veteriner fakülte mezun,1,1
broiler üretim konusunda gelişime açık,broiler üretim konu gelişim açık,1,0
alanda çalışma istek hevesine sahip,ala çalış istek heves sahip,5,0
üreticilerin performanslarının haftalık değerlendirilmesi,üret performans hafta değerlendir,1,1
adanada ikamet edebilecek olan,adana ikamet et olan,0,0
HTML5 CSS3 web arayüz geliştirme teknolojilerine hâkim,html5 CSS3 web arayüz geliştir teknoloji hakim,1,1
PSD to HTML konusunda hızlı,PSD to html konu hızlı,1,0
referans gösterebilecek,referans göster,1,1
src belgesi olan,src belge olan,4,0
sıcak satış alanında çalışabilecek,sıcak satış alan çalış,2,0
2 yıl deneyime sahip,2 yıl deney sahip,5,0
microsoft office programlarını tercihen CANIAS ERP programını etkin kullanabilen,microsoft office program tercihen CANIAS ERP program etkin kullan,3,0
düzenli çalışmayı prensip edinmiş,düzenli çalış prensip edin,2,0
organizasyon becerileri kuvvetli çözüm odaklı analitik düşünce yapısına sahip hızlı sonuç odaklı çalışabilen takım çalışmasına yatkın,organizasyon beceri kuvvet çöz odak analitik düş yapı sahip hızlı sonuç odak çalış tak çalış yatkın,2,0
iletişim yeteneği kuvvetli empati kurabilen,iletişim yetenek kuvvet empati kur,1,1
meslekiteknik alanda yenilikleri takip edebilen,mesleki teknik ala yenilik takip et,0,0
medicalpark gaziantep hastanesinde istihdam edilmek,medicalpark gaziantep hastane istihdam et,0,0
tercihen dental sektörde tecrübesi olan,tercihen dental sektör tecrübe olan,4,0
minimum 4-5 yıl satış tecrübesi olan,minimum 4-5 yıl satış tecrübe olan,4,0
sorumluluk sahibi temsil yeteneği güçlü,sorumluluk sahip temsil yetenek güçlü,5,0
enerjisi öz motivasyonu yüksek,enerji öz motivasyon yüksek,1,1
5 yıl kurumsal satış deneyimi olan,5 yıl kurum satış deney olan,4,0
demokratik davranabilen katılımı işbirliğini destekleyen,demokratik davran katılım işbirliği destekle,1,1
işini yaparken kurumun faydasını gözetebilen diplomatik davranabilen,iş yap kur fayda gözet diplomatik davran,1,0
verilere dayalı nitelikli gerektiği ayrıntılı bilgiyle sunum yapabilen,veri dayalı nitelik gerek ayrıntı bilgi sunu yap,1,0
ürün hizmetlerin müşteriler kabullenilmesi pozitif yaklaşımla sunabilen,ürün hizmet müşteri kabullen pozitif yaklaşım sun,1,1
prosedürler açık tanımlanmış sorumluluklar hedeflerle çalışmaya alışık olan,prosedür açık tanımla sorumluluk hedef çalış alışık olan,4,0
merchandising konusunda 7 yıl deneyimli,merchandising konu 7 yıl deneyim,1,0
koordinasyon becerisi gelişmiş,koordinasyon beceri geliş,1,1
logo bordro plus programını kullanabilen,logo bordro plus program kullan,3,0
takip süreç izleme yeteneği gelişmiş,takip süreç izle yetenek geliş,1,1
tercihen alanında 2 yıl tecrübeli,tercihen alan 2 yıl tecrübe,1,0
elektrik bilgisi olan,elektrik bilgi olan,4,0
öğrenmeye açık işini benimseyen disiplinli,öğren açık iş benimse disiplin,1,1
erkek adaylar askerlik hizmetini tamamlamış mekanik montaj elemanı aramaktayız,erkek aday asker hizmet tamamla mekanik montaj eleman ara,1,1
süreçlere sorgulayıcı çözüm odaklı yaklaşan,süreç sorgula çöz odak yaklaş,1,1
yeni pazarlar oluşturabilecek motivasyona sahip,yeni pazarla oluş motivasyon sahip,5,0
sürekli geliştirmeyi iş prensibi haline getirmiş,sürekli geliştir iş prensip hal getir,1,1
analitik düşünebilen sorumluluk bilincine sahip,analitik düşün sorumluluk bilinç sahip,5,0
CRM portal yazılım araçlarını kullanmak,CRM portal yazılı araç kullan,3,0
tercihen 2 yıl tecrübesi olan,tercihen 2 yıl tecrübe olan,4,0
tercihen istanbul anadolu yakası nda  ikamet,tercihen istanbul anadol yak ' nda ikamet,1,1
enerjik takım çalışmasına yatkın,enerjik tak çalış yatkın,2,0
gelen misafirlerin karşılanması kişilere yönlendirilmesi,gelen misafir karşı kişi yönlen,1,1
ofisin genel işleyişi düzeni konusunda gerekli organizasyonların,ofis genel işle düze konu gerekli organizasyon,1,0
ingilizce konuşma yazma becerisine sahip,ingilizce konuş yazma beceri sahip,5,0
tercihen uluslararası deniz taşımacılığı FORWARDER şirketlerinde 1 yıl dokümantasyon tecrübesi olan,tercihen uluslararası de taşı FORWARDER şirket 1 yıl dokümantasyon tecrübe olan,4,0
disiplinli takipçi planlama organizasyon yeteneği güçlü,disiplin takip planla organizasyon yetenek güçlü,1,1
iyi derecede SQL html CSS bilgisine sahip,iyi derece SQL html CSS bilgi sahip,5,0
işe alım özlük ücretlendirme performans değerlendirme iş analizi iş gücü planlama kariyer yönetimi eğitim planlama genel insan kaynakları faaliyetlerinin yönetilmesi,işe al öz ücret performans değerlendir iş analiz iş güç planla kariyer yönet eğitim planla genel insan kaynak faaliyet yönet,1,1
yetkinlik bazlı mülakat tekniklerine hakim,yetkin baz mülakat teknik hakim,1,1
büro personeline yemek hazırlama konusunda tecrübeli,büro personel yemek hazırla konu tecrübe,1,0
masa düzeni yiyecek içecek sunumunda deneyimli,masa düze yiyecek iç sunum deneyim,1,1
estetik düzen algısı yüksek,estetik düz algı yüksek,1,1
deneyimli bayan aşçı arayışımız mevcuttur,deneyim bayan aşçı ara mevcut,1,1
satış süreçlerinde 1-2 yıl deneyime sahip,satış süreç 1-2 yıl deney sahip,5,0
üretim sahasında planlama süreçlerde aktif çalışabilecek,üretim saha planla süreç aktif çalış,2,0
planlama yönetim becerisi gelişmiş,planla yönet beceri geliş,1,1
gerektiğinde araç tedarikini sağlayıp,gerek araç tedarik sağla,1,1
şehirler arası hat organizasyonları yapabilecek,şehir ara hat organizasyon yap,1,0
lojistik merkezi yönetmeni arıyoruz,lojistik merkezi yönetmen ara,1,1
çorlu reyap hastanemizde görevlendirilmek,çorlu reyap hastane görevlen,1,1
temizlik hizmetleri şefi aramaktayız,temiz hizmet şef ara,1,1
tercihen logo programını kullanmış olan,tercihen logo program kullan olan,3,0
pc raporlama bilgisi üst seviyede olan,pc raporla bilgi üst seviye olan,4,0
minimum 5 yıl ekip yönetimi tecrübesi olan,minimum 5 yıl ekip yönet tecrübe olan,4,0
detaycı sonuç odaklı çalışabilen,detay sonuç odak çalış,2,0
B sınıfı ehliyeti olan aktif araç sürücüsü,b sınıf ehliyet olan aktif araç sürücü,4,0
yeni teknolojileri öğrenme uygulama konusunda istekli,yeni teknoloji öğren uygula konu istek,1,0
teknik dokümanları okuyabilecek düzeyde ingilizce bilen,teknik doküman oku düzey ingilizce bil,1,1
kumaş aksesuar satınalma süreçlerine destek verilmesi,kumaş aksesuar satınal süreç destek ver,1,1
maliyet tablosu hazırlanması,maliyet tablo hazır,1,1
lise tercihen önlisans lojistik mezunu,lise tercihen önlisans lojistik mezun,1,1
tercihen 1 yıllık depo deneyimi bulunan,tercihen 1 yıllık depo deney bulun,1,1
menüsünde 1 yıllık pazarlama tecrübesi olan,menü 1 yıllık pazarla tecrübe olan,4,0
üniversitelerin endüstriyel tasarım teknik bölümlerinden mezun,üniversite endüstriyel tasar teknik bölüm mezun,1,1
sorumluluk sahibi insiyatif kullanabilen,sorumluluk sahip insiyatif kullan,3,2
raporlama analiz tekniklerine hakim,raporla analiz teknik hakim,1,1
dosya evrak düzenine hakim,dosya evrak düzen hakim,1,1
ziyarete gelen misafirleri karşılayarak yönlendirme,ziyaret gelen misafir karşıla yönlen,1,1
gelen telefonların birimlere aktarılması,gelen telefon birim aktar,1,1
gelen evrakların dokümanların birimlere ulaştırılması,gelen evrak doküman birim ulaş,1,1
şirket yöneticilerinin asiste takvimlerinin ayarlanması rezervasyonlarının,şirket yönet asist takvim ayarla rezervasyon,1,1
dikiş malzemelerinin standart stoğunu korumak kontrol etmek,dikiş malzeme standart stok koru kontrol et,0,0
